transactionslist,cnt
"headphone,smartphone,smartphone,headphone,smartphone,smartphone",4
"smartphone,smartphone,smartphone,keds,smartphone",4
"tv,washer,washer",4
"smartphone,smartphone,smartphone,smartphone,player",4
"refrigerators,refrigerators,refrigerators,refrigerators",4
"smartphone,washer,smartphone,vacuum",4
"smartphone,smartphone,smartphone,smartphone,smartphone,air_conditioner,tv,air_conditioner,tv",4
"clocks,clocks,headphone,headphone",4
"notebook,notebook,smartphone,smartphone",4
"smartphone,clocks,clocks,smartphone",4
"washer,washer,smartphone,smartphone,smartphone,smartphone,smartphone",4
"smartphone,tv,smartphone,smartphone,smartphone",4
"smartphone,smartphone,smartphone,smartphone,tv,smartphone",4
"headphone,headphone,headphone,headphone,headphone,headphone",4
"headphone,headphone,clocks",4
"refrigerators,washer,washer,washer",4
"smartphone,smartphone,smartphone,smartphone,mixer,mixer,mixer",4
"vacuum,vacuum,vacuum,vacuum,notebook",4
"smartphone,smartphone,vacuum,smartphone",4
"tv,tv,smartphone,smartphone,smartphone,smartphone,tv,tv",4
"smartphone,tv,tv,smartphone",4
"smartphone,smartphone,clocks,headphone",4
"tv,smartphone,smartphone,smartphone,smartphone,tv,smartphone",4
"refrigerators,refrigerators,refrigerators,washer",4
"meat_grinder,smartphone",4
"clocks,tv",4
"refrigerators,refrigerators,tv",3
"smartphone,welding",3
"smartphone,vacuum,tv",3
"bed,smartphone",3
"smartphone,bed",3
"vacuum,notebook",3
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,telephone,telephone,telephone,telephone",3
"vacuum,notebook,smartphone,smartphone,smartphone",3
"headphone,smartphone,smartphone,smartphone,smartphone",3
"clocks,smartphone,headphone",3
"smartphone,air_conditioner,tv,smartphone,smartphone,smartphone",3
"tv,tv,tv,clocks,clocks,smartphone",3
"kettle,smartphone",3
"smartphone,diapers",3
"smartphone,smartphone,smartphone,trousers,costume",3
"iron,vacuum",3
"smartphone,smartphone,telephone,telephone",3
"iron,smartphone",3
"tv,headphone,clocks",3
"washer,washer,washer,notebook",3
"tv,tv,washer,hair_cutter,tv,washer",3
"tv,refrigerators,smartphone",3
"clocks,clocks,smartphone,smartphone,smartphone,smartphone",3
"tv,smartphone,tv,smartphone,smartphone,smartphone",3
"smartphone,smartphone,smartphone,clocks,clocks,smartphone",3
